subject,id,task,num,severity,flags,question
prm,97,fe,49,P1,"half_translated_question","What is the benefit of composing widgets in Flutter?"
prm,98,fe,50,P1,"half_translated_question","Which status code indicates server error?"
prm,99,fe,58,P0,"same_whyWrong_all","What does Curves/Animation provide?"
prm,103,slides,102,P1,"half_translated_question","Which engine technology does Flutter use for rendering (as mentioned in slides)?"
prm,121,slides,120,P1,"half_translated_question","Why is async/await important in Flutter apps?"
prm,125,slides,124,P1,"half_translated_opt_B","What is .fromJson() typically used for?"
prm,133,slides,132,P1,"half_translated_question","Which widget allows children to overlap?"
prm,136,slides,135,P1,"half_translated_opt_A","Why use const widgets when possible?"
prm,137,slides,136,P0,"same_whyWrong_all","What does ThemeData primarily define?"
prm,138,slides,137,P0,"same_whyWrong_all","What does the build() method return?"
prm,144,slides,143,P1,"generic_concept;half_translated_question","Where do you typically configure Android deep link intent filters?"
prm,150,slides,149,P1,"half_translated_question","Which widget rebuilds when a Stream emits new data?"
prm,153,slides,152,P0,"same_whyWrong_all","Provider is commonly used for:"
prm,156,slides,155,P1,"generic_concept","Which API is commonly used to read screen size/orientation?"
prm,161,slides,160,P1,"generic_concept","Which widget is commonly used for scrollable single-child content?"
prm,164,slides,163,P1,"generic_concept","How do you typically hide password characters in a TextField?"
prm,168,slides,167,P1,"half_translated_question","Why validate user input before submit?"
prm,170,slides,169,P1,"generic_concept;half_translated_question","Which widget groups multiple fields for joint validation?"
prm,175,slides,174,P0,"same_whyWrong_all","Which HTTP header commonly carries access credentials?"
prm,177,slides,176,P0,"same_whyWrong_all","What does status code 404 typically mean?"
prm,183,slides,182,P1,"half_translated_question","Why map JSON fields into model classes?"
prm,186,slides,185,P0,"same_whyWrong_all","What is Hive mainly used for?"
prm,187,slides,186,P1,"generic_concept;half_translated_question","Which plugin provides SQLite support in Flutter?"
prm,188,slides,187,P1,"generic_concept","Which widget is often used to show async local storage reads?"
prm,191,slides,190,P1,"generic_concept","Which storage suits a small flag like 'onboardingCompleted'?"
prm,197,slides,196,P1,"half_translated_opt_A","Why centralize authentication state?"
prm,200,slides,199,P0,"same_whyWrong_all","Storing tokens insecurely (plain SharedPreferences without care) risks:"
prm,202,slides,201,P1,"half_translated_question","Push notifications in this module are related to:"
prm,204,slides,203,P1,"generic_concept","Which test type checks individual functions or classes?"
prm,205,slides,204,P1,"generic_concept","Which Flutter test focuses on UI components/widgets?"
prm,206,slides,205,P0,"same_whyWrong_all","What does an integration test verify?"
prm,207,slides,206,P0,"same_whyWrong_all","Why are tests important for refactoring?"
prm,208,slides,207,P1,"half_translated_opt_B","What is test isolation?"
prm,211,slides,210,P0,"half_translated_question;same_whyWrong_all","find.byType / find.text in widget tests are used to:"
prm,212,slides,211,P0,"half_translated_question;same_whyWrong_all","Mocking dependencies in unit tests helps:"
prm,213,slides,212,P0,"same_whyWrong_all","Golden tests primarily verify:"
prm,215,slides,214,P1,"half_translated_question","Why extract list item widgets (e.g. TaskTile) and use Selector?"
prm,218,slides,217,P1,"half_translated_question","Why use ValueKey(task.id) instead of UniqueKey() for list items?"
prm,221,slides,220,P0,"same_whyWrong_all","const widgets help performance because they:"
fe,1,test,1,P1,"half_translated_question","A process is waiting for data from a disk drive before continuing execution. Which state is the process most likely in?"
fe,2,test,2,P1,"half_translated_question","A software development team wants to distribute software while allowing users to view, modify, and redistribute the source code."
fe,3,test,3,P1,"half_translated_question","What is the main purpose of interface design?"
fe,5,test,5,P1,"half_translated_question;half_translated_opt_A","A compiler translates a source program containing 20,000 lines of code. Which statement best describes the compilation process?"
fe,6,test,6,P1,"half_translated_question","Which of the following is a non-volatile storage device?"
fe,7,test,7,P1,"half_translated_question","Which SQL command removes a table definition and its data?"
fe,8,test,8,P1,"half_translated_question","Which OS management function is primarily responsible for deciding which process receives CPU time?"
fe,9,test,9,P1,"generic_concept;half_translated_question","Which of the following is classified as a peripheral device?"
fe,10,test,10,P1,"generic_concept;half_translated_question","Which generation of computers introduced VLSI technology?"
fe,12,test,12,P1,"generic_concept;half_translated_question","Which of the following devices was mainly used as the logic gate in first-generation computers?"
fe,13,test,13,P1,"half_translated_question","Which type of software acts as an intermediary between application software and the operating system?"
fe,14,test,14,P1,"half_translated_opt_D","Which statement correctly describes the advantage of an interpreter compared with a compiler?"
fe,15,test,15,P1,"half_translated_question","Which type of processing system executes jobs collectively without user interaction?"
fe,17,test,17,P1,"half_translated_question","Which programming language is closest to machine language and uses mnemonic instructions?"
fe,18,test,18,P1,"generic_concept;half_translated_question","What is the smallest unit of data representation in computers?"
fe,19,test,19,P1,"generic_concept;half_translated_question","What is the characteristic of auxiliary storage?"
fe,20,test,20,P1,"generic_concept;half_translated_question","Which of the following character codes is internationally standardized for multilingual text representation?"
fe,21,test,21,P1,"half_translated_question","Which Coffman condition can be eliminated to prevent deadlock?"
fe,22,test,22,P1,"generic_concept;half_translated_question","Which of the following software is typically stored in ROM and remains available even when power is turned off?"
fe,23,test,23,P1,"half_translated_question","Which of the following is performed in the Plan phase of a PDCA model that is applied to any ISMS process?"
fe,24,test,24,P1,"half_translated_question","When a file of 10^6 bytes is transmitted by using a 64 kbps line, approximately how long (in seconds) does it take to transfer the file? *(phần cuối bị khuất, c"
fe,25,test,25,P1,"generic_concept;half_translated_question","Which scheduling algorithm may cause starvation?"
fe,26,test,26,P1,"half_translated_question;half_translated_opt_D","Which of the following is an appropriate description of cryptography?"
fe,28,test,28,P1,"half_translated_question;half_translated_opt_B","Which of the following is an objective of a software developer in attaching a digital signature to software when software is released on the Internet?"
fe,29,test,29,P1,"generic_concept","Thuật toán nào thuộc nhóm Divide and Conquer?"
fe,30,test,30,P1,"generic_concept;half_translated_question","Which of the following is biometric authentication that uses information which can be obtained from the human eye?"
fe,31,test,31,P1,"half_translated_question","A company wants software that can be legally copied and used without purchasing a license fee. Which category is most appropriate?"
fe,32,test,32,P1,"half_translated_question;half_translated_opt_C","Which of the following is an appropriate description of JPCERT/CC?"
fe,33,test,33,P1,"half_translated_question","What is availability in system reliability evaluation?"
fe,34,test,34,P1,"generic_concept;half_translated_question","Which component combines multiple object modules into a single executable program?"
fe,35,test,35,P1,"half_translated_question","Which of the following is an appropriate description of WPA? (Từ cuối hơi mờ, dựa vào đáp án có thể là WPA hoặc WAF)"
fe,36,test,36,P1,"half_translated_question","Which SQL correctly returns the second-highest salary for each department?"
fe,37,test,37,P1,"generic_concept","Cấu trúc dữ liệu nào hoạt động theo nguyên tắc FIFO?"
fe,38,test,38,P1,"half_translated_question","Which processing system is most appropriate for payroll calculations performed once a month?"
fe,39,test,39,P1,"half_translated_question;half_translated_opt_A","Which of the following is an effect of e-mail encryption?"
fe,40,test,40,P1,"half_translated_question;half_translated_opt_B","Which of the following is an appropriate description of risk assessment?"
fe,41,test,41,P1,"half_translated_question","Which type of processing system is suitable for airline reservation systems requiring immediate responses?"
fe,43,test,43,P1,"generic_concept;half_translated_question","Which file organization method stores records in the order they are received, without any sorting?"
fe,44,test,44,P1,"half_translated_question","Which processing system concentrates all processing tasks on one central computer?"
fe,45,test,45,P1,"generic_concept;half_translated_question","Which of the following is an appropriate description of the role of a reverse proxy?"
fe,46,test,46,P1,"half_translated_opt_D","Which of the following is an appropriate explanation of OP25B?"
fe,47,test,47,P1,"generic_concept;half_translated_question","Which multimedia element represents moving visual content?"
fe,48,test,48,P1,"generic_concept","Thuật toán nào có ý tưởng đẩy phần tử lớn nhất về cuối dãy sau mỗi lượt quét?"
fe,49,test,49,P1,"half_translated_question","What is the value of hexadecimal number A in decimal notation?"
fe,50,test,50,P1,"half_translated_question","What is response time in system evaluation?"
fe,51,test,51,P1,"half_translated_question","Which of the following is a secure protocol that combines an authentication function between a client and a server with an encryption function for communication"
fe,52,test,52,P1,"half_translated_opt_B","Which of the following is an appropriate description concerning antivirus software?"
fe,53,test,53,P1,"half_translated_question","What is the main advantage of semiconductor memory over magnetic disks?"
fe,54,test,54,P1,"generic_concept","Thuật toán nào không yêu cầu dữ liệu được sắp xếp trước?"
fe,55,test,55,P1,"half_translated_question;half_translated_opt_A","Which of the following is an appropriate description of information security policy?"
fe,56,test,56,P1,"half_translated_question;half_translated_opt_A;half_translated_opt_B","Which of the following best describes an assembler?"
fe,57,test,57,P1,"half_translated_question","When an internal user of a company forgets the password, which of the following is an appropriate action a security administrator should take after the identity"
fe,58,test,58,P1,"generic_concept;half_translated_question","Which number system uses digits from 0 to 7?"
fe,59,test,59,P1,"generic_concept;half_translated_question","A database file contains one million records. Users frequently retrieve records using a unique customer ID. Which file organization method provides the fastest "
fe,60,test,60,P1,"half_translated_question","According to ISO/IEC 27001 (JIS Q 27001), which of the following is the definition of availability in information security?"
fe,61,test,61,P1,"half_translated_opt_A","Which of the following is an appropriate explanation of TDM that is one of the multiplexing techniques?"
fe,62,test,62,P1,"half_translated_question","Among the descriptions concerning devices that constitute a network, which of the following is an explanation concerning the CCU (Communication Control Unit)?"
fe,63,test,63,P1,"half_translated_question","Which of the following is an appropriate description of WPA?"
fe,64,test,64,P1,"half_translated_question;half_translated_opt_C","Which of the following is the action that corresponds to social engineering?"
fe,65,test,65,P1,"half_translated_question","What is the purpose of human interface technology?"
fe,66,test,66,P1,"half_translated_question","Which memory loses its contents when power is turned off?"
fe,67,test,67,P1,"generic_concept;half_translated_question","A software system must support multiple users accessing files simultaneously while preventing... (phần sau bị khuất)"
fe,69,bank300,2,P1,"generic_concept;half_translated_question","What is the smallest unit of data in a computer?"
fe,70,bank300,3,P1,"generic_concept;half_translated_question","Which generation introduced VLSI?"
fe,71,bank300,4,P1,"generic_concept","First-generation logic device?"
fe,73,bank300,6,P1,"half_translated_question","Which memory loses data when power is off?"
fe,74,bank300,7,P1,"generic_concept;half_translated_question","Main memory is typically which type?"
fe,75,bank300,8,P1,"generic_concept","Cache is usually implemented with?"
fe,77,bank300,10,P1,"generic_concept","Number system using digits 0-7?"
fe,78,bank300,11,P1,"generic_concept","8-bit two's complement 11101010 equals?"
fe,79,bank300,12,P1,"generic_concept","Two's complement of negative: method?"
fe,80,bank300,13,P1,"generic_concept","Range of n-bit 2's complement?"
fe,81,bank300,14,P1,"generic_concept","International multilingual character code?"
fe,82,bank300,15,P1,"half_translated_question","CPU = which units?"
fe,83,bank300,16,P1,"generic_concept;half_translated_question","Which is a peripheral device?"
fe,85,bank300,18,P1,"generic_concept","Auxiliary storage characteristic?"
fe,86,bank300,19,P1,"half_translated_question","Advantage of semiconductor memory vs magnetic disk?"
fe,88,bank300,21,P1,"generic_concept","RAID 1 main feature?"
fe,90,bank300,23,P1,"generic_concept","Instruction cycle order?"
fe,91,bank300,24,P1,"generic_concept","PC register holds?"
fe,92,bank300,25,P1,"generic_concept","Pipeline hazard types?"
fe,95,bank300,28,P1,"generic_concept","Information amount with n bits?"
fe,96,bank300,29,P1,"generic_concept","BCD means?"
fe,97,bank300,30,P1,"generic_concept","FPGA characteristic?"
fe,99,bank300,32,P1,"half_translated_question","Payroll once a month best system?"
fe,101,bank300,34,P1,"generic_concept;half_translated_question","Hard real-time example idea?"
fe,104,bank300,37,P1,"generic_concept","Parallel reliability formula idea?"
fe,106,bank300,39,P1,"half_translated_question","What is response time?"
fe,107,bank300,40,P1,"half_translated_question","What is throughput?"
fe,108,bank300,41,P1,"generic_concept","ACID: A means?"
fe,112,bank300,45,P1,"generic_concept","Video multimedia means?"
fe,116,bank300,49,P1,"half_translated_opt_B","Compiler translates how?"
fe,117,bank300,50,P1,"half_translated_opt_B","Interpreter advantage vs compiler?"
fe,119,bank300,52,P1,"generic_concept","Assembler does what?"
fe,120,bank300,53,P1,"generic_concept","Combines object modules into executable?"
fe,121,bank300,54,P1,"generic_concept","Loads program into memory?"
fe,122,bank300,55,P1,"generic_concept","Software in ROM after power off?"
fe,128,bank300,61,P1,"generic_concept","Scheduling that may starve long jobs?"
fe,129,bank300,62,P1,"generic_concept","Round Robin reduces?"
fe,131,bank300,64,P1,"half_translated_question","Eliminate which condition to prevent deadlock (common)?"
fe,135,bank300,68,P1,"generic_concept","Thrashing?"
fe,137,bank300,70,P1,"generic_concept","File organization fastest by unique ID?"
fe,138,bank300,71,P1,"generic_concept;half_translated_question","File stores in arrival order unsorted?"
fe,140,bank300,73,P1,"generic_concept","Backup types?"
fe,147,bank300,80,P1,"generic_concept","Primary key ensures?"
fe,148,bank300,81,P1,"generic_concept","Foreign key ensures?"
fe,149,bank300,82,P1,"generic_concept","ACID D means?"
fe,152,bank300,85,P1,"generic_concept","JOIN does?"
fe,154,bank300,87,P1,"generic_concept","2PC used for?"
fe,162,bank300,95,P1,"generic_concept","TDM explanation?"
fe,163,bank300,96,P1,"generic_concept","FDM explanation?"
fe,164,bank300,97,P1,"generic_concept","WDM explanation?"
fe,166,bank300,99,P1,"generic_concept","CSMA/CD used in?"
fe,167,bank300,100,P1,"generic_concept","CSMA/CA used in?"
fe,168,bank300,101,P1,"half_translated_question","File 10^6 bytes on 64kbps 80% util time?"
fe,169,bank300,102,P1,"generic_concept","Transfer time formula?"
fe,170,bank300,103,P1,"generic_concept","CCU role?"
fe,172,bank300,105,P1,"generic_concept","Switch vs hub?"
fe,177,bank300,110,P1,"generic_concept","CIA Availability definition?"
fe,179,bank300,112,P1,"generic_concept","CIA Integrity?"
fe,180,bank300,113,P1,"generic_concept","ISMS Plan phase includes?"
fe,181,bank300,114,P1,"generic_concept","ISMS Act phase?"
fe,185,bank300,118,P1,"generic_concept","Public key crypto speed vs symmetric?"
fe,187,bank300,120,P1,"generic_concept;half_translated_question","Digital signature on released software aims?"
fe,188,bank300,121,P1,"generic_concept","Email encryption effect?"
fe,189,bank300,122,P1,"generic_concept","Iris authentication type?"
fe,191,bank300,124,P1,"generic_concept","WAF is?"
fe,192,bank300,125,P1,"half_translated_opt_C","Reverse proxy does?"
fe,195,bank300,128,P1,"half_translated_opt_A","JPCERT/CC role?"
fe,196,bank300,129,P1,"generic_concept","Social engineering example?"
fe,197,bank300,130,P1,"generic_concept","SSL provides?"
fe,198,bank300,131,P1,"generic_concept","Antivirus signature method good for?"
fe,199,bank300,132,P1,"half_translated_question","Admin action forgotten password after verify?"
fe,201,bank300,134,P1,"generic_concept","Hash property?"
fe,203,bank300,136,P1,"generic_concept","Least privilege?"
fe,204,bank300,137,P1,"generic_concept","Phishing is related to?"
fe,205,bank300,138,P1,"generic_concept","FIFO structure?"
fe,208,bank300,141,P1,"half_translated_question","Stack: PUSH3 PUSH7 POP PUSH5 PUSH9 POP top?"
fe,209,bank300,142,P1,"half_translated_question","Queue: ENQA ENQB DEQ ENQC ENQD DEQ front?"
fe,213,bank300,146,P1,"generic_concept","RPN of (A+B)*(C-D/E)?"
fe,214,bank300,147,P1,"generic_concept","BST inorder of 50,30,70,20,40,60,80?"
fe,215,bank300,148,P1,"generic_concept","BST left subtree values?"
fe,216,bank300,149,P1,"generic_concept","Divide and Conquer sort example?"
fe,218,bank300,151,P1,"generic_concept","Selection sort first pass on 84 73 28 16 51?"
fe,219,bank300,152,P1,"half_translated_question","Linear search needs sorted data?"
fe,220,bank300,153,P1,"half_translated_question","Binary search needs sorted data?"
fe,222,bank300,155,P1,"generic_concept","Linear search worst complexity?"
fe,224,bank300,157,P1,"generic_concept","Array access time complexity?"
fe,226,bank300,159,P1,"half_translated_question","Full binary tree 31 nodes min height (edges)?"
fe,227,bank300,160,P1,"generic_concept","Preorder order?"
fe,229,bank300,162,P1,"generic_concept","Hash average search?"
fe,230,bank300,163,P1,"generic_concept","Merge sort complexity?"
fe,231,bank300,164,P1,"generic_concept","Quicksort worst case?"
fe,232,bank300,165,P1,"generic_concept","CSR means?"
fe,233,bank300,166,P1,"generic_concept","BCP means?"
fe,234,bank300,167,P1,"generic_concept","PDCA letters?"
fe,235,bank300,168,P1,"generic_concept","Assets = ?"
fe,237,bank300,170,P1,"generic_concept","QC Pareto idea?"
fe,238,bank300,171,P1,"generic_concept","Ishikawa diagram?"
fe,240,bank300,173,P1,"generic_concept","Competitive leader strategy?"
fe,241,bank300,174,P1,"generic_concept","Nicher strategy?"
fe,242,bank300,175,P1,"generic_concept","4P marketing?"
fe,243,bank300,176,P1,"generic_concept","Product life cycle stages?"
fe,244,bank300,177,P1,"generic_concept","CIO approves?"
fe,245,bank300,178,P1,"generic_concept","ITIL de facto for?"
fe,246,bank300,179,P1,"generic_concept","SLA is?"
fe,247,bank300,180,P1,"generic_concept","Incident vs Problem?"
fe,248,bank300,181,P1,"generic_concept","Service desk is?"
fe,249,bank300,182,P1,"generic_concept","ISO 20000 about?"
fe,250,bank300,183,P1,"generic_concept","Waterfall model?"
fe,252,bank300,185,P1,"generic_concept","Unit test tests?"
fe,254,bank300,187,P1,"generic_concept","White-box testing?"
fe,255,bank300,188,P1,"generic_concept","High cohesion good?"
fe,256,bank300,189,P1,"generic_concept","Low coupling good?"
fe,257,bank300,190,P1,"generic_concept","Configuration baseline?"
fe,260,bank300,193,P1,"generic_concept","SPI = ?"
fe,261,bank300,194,P1,"generic_concept","CPI = ?"
fe,262,bank300,195,P1,"generic_concept","SPI<1 means?"
fe,264,bank300,197,P1,"generic_concept","Internal control SoD?"
fe,267,bank300,200,P1,"generic_concept","COBIT is?"
fe,268,bank300,201,P1,"generic_concept","SaaS means?"
fe,269,bank300,202,P1,"generic_concept","PaaS means?"
fe,270,bank300,203,P1,"generic_concept","IaaS means?"
fe,271,bank300,204,P1,"generic_concept","B2C e-business?"
fe,272,bank300,205,P1,"generic_concept","Benchmarking?"
fe,273,bank300,206,P1,"generic_concept","Outsourcing offshore risk?"
fe,275,bank300,208,P1,"generic_concept","Patent protects?"
fe,276,bank300,209,P1,"generic_concept","Going concern?"
fe,279,bank300,212,P1,"generic_concept","MBO?"
fe,280,bank300,213,P1,"generic_concept","ERP supports?"
fe,281,bank300,214,P1,"generic_concept","CRM supports?"
fe,282,bank300,215,P1,"generic_concept","SCM supports?"
fe,283,bank300,216,P1,"half_translated_opt_A","Requirements: functional vs non-functional?"
fe,284,bank300,217,P1,"generic_concept","Walk-through review?"
fe,285,bank300,218,P1,"generic_concept","Inspection review?"
fe,286,bank300,219,P1,"generic_concept","Corrective maintenance?"
fe,289,bank300,222,P1,"generic_concept","Verification vs Validation?"
fe,291,bank300,224,P1,"generic_concept","Stakeholder is?"
fe,292,bank300,225,P1,"generic_concept","PMO role?"
fe,293,bank300,226,P1,"generic_concept","Matrix organization?"
fe,294,bank300,227,P1,"generic_concept","Critical path activities have?"
fe,296,bank300,229,P1,"generic_concept","Fast-tracking?"
fe,297,bank300,230,P1,"generic_concept","Known error in ITIL?"
fe,299,bank300,232,P1,"generic_concept","Availability management goal?"
fe,300,bank300,233,P1,"generic_concept","IT service continuity related to?"
fe,301,bank300,234,P1,"half_translated_opt_A","Preventive control example?"
fe,302,bank300,235,P1,"generic_concept","Detective control example?"
fe,304,bank300,237,P1,"generic_concept","General IT controls vs application controls?"
fe,316,bank300,249,P1,"half_translated_question","Stack empty PUSH1 PUSH2 POP result top?"
fe,318,bank300,251,P1,"half_translated_question","Best OS for many short interactive jobs fairness?"
fe,319,bank300,252,P1,"generic_concept","Starvation risk algorithm?"
fe,320,bank300,253,P1,"half_translated_question","Process blocked on keyboard input state?"
fe,321,bank300,254,P1,"half_translated_question","Which layer HTTP belongs TCP/IP?"
fe,322,bank300,255,P1,"generic_concept;half_translated_question","Which layer IP?"
fe,324,bank300,257,P1,"generic_concept","Mail send protocol?"
fe,325,bank300,258,P1,"generic_concept","Mail receive protocols?"
fe,327,bank300,260,P1,"generic_concept","Hot swap related often to?"
fe,328,bank300,261,P1,"generic_concept;half_translated_question","UPS supports which security aspect mainly?"
fe,329,bank300,262,P1,"generic_concept;half_translated_question","Clean desk policy is which measure type?"
fe,330,bank300,263,P1,"generic_concept","Lock on server room door?"
fe,333,bank300,266,P1,"generic_concept","XSS related to?"
fe,334,bank300,267,P1,"generic_concept","Digital certificate issued by?"
fe,335,bank300,268,P1,"generic_concept","Symmetric algorithm example?"
fe,336,bank300,269,P1,"generic_concept","Asymmetric example?"
fe,337,bank300,270,P1,"generic_concept","Hash example family?"
fe,338,bank300,271,P1,"generic_concept","MFA means?"
fe,339,bank300,272,P1,"generic_concept","RBAC means?"
fe,343,bank300,276,P1,"generic_concept","Throughput high means?"
fe,344,bank300,277,P1,"generic_concept","Turnaround time used in?"
fe,345,bank300,278,P1,"half_translated_question","Soft real-time miss deadline?"
fe,346,bank300,279,P1,"generic_concept","Client-server model?"
fe,347,bank300,280,P1,"generic_concept","3-tier layers?"
fe,349,bank300,282,P1,"generic_concept","E-R entity drawn as?"
fe,350,bank300,283,P1,"generic_concept","Relationship cardinality M:N?"
fe,351,bank300,284,P1,"generic_concept","COMMIT does?"
fe,352,bank300,285,P1,"generic_concept","ROLLBACK does?"
fe,354,bank300,287,P1,"generic_concept","View in DB?"
fe,355,bank300,288,P1,"generic_concept","GRANT/REVOKE?"
fe,357,bank300,290,P1,"generic_concept","ETL means?"
fe,358,bank300,291,P1,"generic_concept","Bus topology weakness?"
fe,359,bank300,292,P1,"generic_concept;half_translated_question","Star topology center device often?"
fe,360,bank300,293,P1,"generic_concept","Optical fiber advantage?"
fe,361,bank300,294,P1,"generic_concept","Twisted pair common use?"
fe,362,bank300,295,P1,"generic_concept","CRC used for?"
fe,363,bank300,296,P1,"generic_concept","Parity bit used for?"
fe,364,bank300,297,P1,"generic_concept","Sliding window improves?"
fe,366,bank300,299,P1,"generic_concept","ICMP used by?"
fe,367,bank300,300,P1,"generic_concept","Private IP example?"
fe,368,datajfe,1,P1,"half_translated_question;half_translated_opt_A;half_translated_opt_B;half_translated_opt_C;half_translated_opt_D","A LAN access method circulates control information in a fixed direction. A station may transmit only after receiving this control information and gaining transm"
fe,369,datajfe,2,P1,"generic_concept;half_translated_question","An organization wants to exchange product model data using an international standard specifically intended for product model information. Which standardization "
fe,370,datajfe,3,P1,"half_translated_question","A company uses a transmission method in which a dedicated communication path is established before data transfer. Communication performance is predictable, but "
fe,371,datajfe,4,P1,"half_translated_question;half_translated_opt_A;half_translated_opt_B;half_translated_opt_C;half_translated_opt_D","A project manager shortens an activity that is not currently on the critical path. After the change, the project completion date remains unchanged. Which explan"
fe,372,datajfe,5,P1,"half_translated_question","An attacker secretly intercepts data traveling across a network and steals information without necessarily modifying the transmitted data. Which computer crime "
fe,373,datajfe,6,P1,"half_translated_question","A software organization wants an international standard that structures lifecycle processes for acquisition, supply, development, operation, and maintenance, bu"
fe,374,datajfe,7,P1,"half_translated_opt_A;half_translated_opt_B;half_translated_opt_D","Which of the following is an appropriate explanation of a Java servlet?"
fe,375,datajfe,8,P1,"half_translated_question","A product vendor claims that its system provides several advanced security features. A customer needs a framework for specifying security requirements, allowing"
fe,376,datajfe,9,P1,"half_translated_question","A software organization requires every project to follow documented plans and ensures that requirements, work products, and services are managed. However, diffe"
