doc du lieu can xu ly	đọc dữ liệu cần xử lý
ban phim, chuot, cam bien	bàn phím, chuột, cảm biến
xuat ket qua dang nguoi doc duoc	xuất kết quả dạng người đọc được
man hinh, may in	màn hình, máy in
ghi nho du lieu	ghi nhớ dữ liệu
Co 2 loai	Có 2 loại
truy cap truc tiep tu CPU	truy cập trực tiếp từ CPU
mat khi mat dien	mất khi mất điện
luu lau	lưu lâu
thuc hien phep toan so hoc va logic	thực hiện phép toán số học và logic
so sanh theo chi thi cua control unit	so sánh theo chỉ thị của control unit
giai ma lenh	giải mã lệnh
ra lenh cho	ra lệnh cho
don vi con lai	đơn vị còn lại
La 'nhac truong' cua may	Là 'nhạc trưởng' của máy
Thiet bi ngoai CPU	Thiết bị ngoài CPU
goi la	gọi là
chuc nang CPU dong goi vao	chức năng CPU đóng gói vào
tich hop ca he thong	tích hợp cả hệ thống
ke ca bo nho	kể cả bộ nhớ
vao 1 chip	vào 1 chip
nhanh, it dien nhung rui ro phat trien cao	nhanh, ít điện nhưng rủi ro phát triển cao
nhieu chip trong 1 package	nhiều chip trong 1 package
con tich hop ca I/O	còn tích hợp cả I/O
ho tro hoac chi lam 1 loai xu ly chuyen biet	hỗ trợ hoặc chỉ làm 1 loại xử lý chuyên biệt
khac general-purpose	khác general-purpose
dua vao memory	đưa vào memory
hieu	hiểu
la cong	là cộng
lay 3 va 6, tinh 9, ghi vao memory	lấy 3 và 6, tính 9, ghi vào memory
hien 9	hiện 9
Du lieu trong may duoc bieu dien bang tin hieu dien chi co 2 trang thai	Dữ liệu trong máy được biểu diễn bằng tín hiệu điện chỉ có 2 trạng thái
gan 0 va 1	gán 0 và 1
Don vi nho nhat	Đơn vị nhỏ nhất
la don vi xu ly cua may	là đơn vị xử lý của máy
tuy kien truc	tùy kiến trúc
Word cang nhieu bit, 1 lan xu ly cang nhieu thong tin	Word càng nhiều bit, 1 lần xử lý càng nhiều thông tin
thuong nhanh hon	thường nhanh hơn
Luong thong tin	Lượng thông tin
bieu dien duoc	biểu diễn được
trang thai/loai	trạng thái/loại
Ly thuyet thong tin	Lý thuyết thông tin
su kien cang it xac suat xay ra, luong thong tin mang lai cang lon	sự kiện càng ít xác suất xảy ra, lượng thông tin mang lại càng lớn
muc 'bat ngo'	mức 'bất ngờ'
Xac suat	Xác suất
tuong ung	tương ứng
Prefix lon	Prefix lớn
Prefix nho	Prefix nhỏ
trong may tinh thuong	trong máy tính thường
De bai hay hoi dung	Đề bài hay hỏi dùng
moi hang la luy thua cua n	mỗi hàng là lũy thừa của n
dung chu so	dùng chữ số
den n thi nho	đến n thì nhớ
chi 0 va 1	chỉ 0 và 1
Vi du	Ví dụ
thap phan	thập phân
Bat phan	Bát phân
va thap luc phan	và thập lục phân
de viet gon nhi phan	để viết gọn nhị phân
1 chu so oct	1 chữ số oct
1 chu so hex	1 chữ số hex
dung 0-9 va A-F	dùng 0-9 và A-F
Chuyen thap phan	Chuyển thập phân
phan nguyen	phần nguyên
chia lien tiep cho 2, lay du tu duoi len	chia liên tiếp cho 2, lấy dư từ dưới lên
Phan thap phan	Phần thập phân
nhan 2, lay phan nguyen lan luot	nhân 2, lấy phần nguyên lần lượt
moi chu so thap phan ma bang 4 bit rieng	mỗi chữ số thập phân mã bằng 4 bit riêng
khong phai nhi phan thuan cua ca so	không phải nhị phân thuần của cả số
bai tinh chuyen co so	bài tính chuyển cơ số
doi hex	đổi hex
bang nhom 4 bit xuat hien rat nhieu	bằng nhóm 4 bit xuất hiện rất nhiều
So nguyen co dau thuong dung	Số nguyên có dấu thường dùng
Pho bien nhat	Phổ biến nhất
cua so am	của số âm
dao tat ca bit roi +1	đảo tất cả bit rồi +1
Uu diem	Ưu điểm
phep cong/tru dung chung mach cong	phép cộng/trừ dùng chung mạch cộng
chi co 1 so 0	chỉ có 1 số 0
Pham vi so nguyen	Phạm vi số nguyên
dau phay co dinh	dấu phẩy cố định
gom dau	gồm dấu
phan mu	phần mũ
phan dinh tri	phần định trị
bieu dien so rat lon/nho	biểu diễn số rất lớn/nhỏ
co the bi	có thể bị
va sai so lam tron	và sai số làm tròn
pho bien quoc te	phổ biến quốc tế
may mainframe	máy mainframe
ho tro da ngon ngu	hỗ trợ đa ngôn ngữ
cho tieng Nhat	cho tiếng Nhật
them bit de kiem tra loi le/chan khi truyen/luu	thêm bit để kiểm tra lỗi lẻ/chẵn khi truyền/lưu
dung phat hien loi manh hon	dùng phát hiện lỗi mạnh hơn
xem them Network	xem thêm Network
gom control unit	gồm control unit
tap thanh ghi	tập thanh ghi
ket noi qua bus	kết nối qua bus
Register quan trong	Register quan trọng
dia chi lenh ke	địa chỉ lệnh kế
lenh dang xu ly	lệnh đang xử lý
toan hang	toán hạng
ket qua so sanh	kết quả so sánh
Chu ky lenh	Chu kỳ lệnh
co ban	cơ bản
doc lenh	đọc lệnh
giai ma	giải mã
thuc thi	thực thi
Tan so dong ho	Tần số đồng hồ
cao hon thuong xu ly nhieu chu ky hon/giay	cao hơn thường xử lý nhiều chu kỳ hơn/giây
nhung hieu nang thuc te con phu thuoc	nhưng hiệu năng thực tế còn phụ thuộc
Moi o nho co dia chi	Mỗi ô nhớ có địa chỉ
va noi dung	và nội dung
CPU truy cap bang dia chi	CPU truy cập bằng địa chỉ
doc/ghi	đọc/ghi
giu noi dung khi mat dien	giữ nội dung khi mất điện
chu yeu doc	chủ yếu đọc
co bien the ghi duoc	có biến thể ghi được
mat do cao	mật độ cao
can refresh dinh ky	cần refresh định kỳ
dung lam main memory	dùng làm main memory
nhanh hon, dat, khong can refresh	nhanh hơn, đắt, không cần refresh
dung lam cache	dùng làm cache
nhanh-dat -> cham-re	nhanh-đắt → chậm-rẻ
Muc tieu: can bang toc do va chi phi	Mục tiêu: cân bằng tốc độ và chi phí
Lenh gom	Lệnh gồm
ma phep toan	mã phép toán
toan hang / dia chi	toán hạng / địa chỉ
Cac che do dia chi hoa thuong gap	Các chế độ địa chỉ hóa thường gặp
toan hang nam trong lenh	toán hạng nằm trong lệnh
lenh chua dia chi o nho	lệnh chứa địa chỉ ô nhớ
lenh tro toi cho chua dia chi that	lệnh trỏ tới chỗ chứa địa chỉ thật
dia chi co so + index	địa chỉ cơ sở + index
offset so voi PC	offset so với PC
So dia chi trong lenh	Số địa chỉ trong lệnh
anh huong do dai lenh va so lan truy cap bo nho	ảnh hưởng độ dài lệnh và số lần truy cập bộ nhớ
Cong logic co ban	Cổng logic cơ bản
Moi cong la khoi xay dung ALU va control	Mỗi cổng là khối xây dựng ALU và control
Mach to hop	Mạch tổ hợp
ra chi phu thuoc vao vao hien tai	ra chỉ phụ thuộc vào vào hiện tại
Mach tuan tu	Mạch tuần tự
co nho trang thai	có nhớ trạng thái
cong nhi phan	cộng nhị phân
dich bit	dịch bit
nhan/chia 2	nhân/chia 2
so sanh	so sánh
Bieu thuc Boolean	Biểu thức Boolean
dinh luat	định luật
bang chan ly	bảng chân lý
dung don gian hoa logic	dùng đơn giản hóa logic
it cong, nhanh, re hon	ít cổng, nhanh, rẻ hơn
chia xu ly lenh thanh nhieu stage	chia xử lý lệnh thành nhiều stage
de nhieu lenh chong lan nhau theo thoi gian	để nhiều lệnh chồng lấn nhau theo thời gian
lam giam hieu suat pipeline	làm giảm hiệu suất pipeline
bo nho nhanh giua CPU va main memory	bộ nhớ nhanh giữa CPU và main memory
tan dung tinh dia phuong	tận dụng tính địa phương
tim thay	tìm thấy
phai xuong main memory	phải xuống main memory
Chinh sach ghi	Chính sách ghi
ghi xuong luon	ghi xuống luôn
ghi cache, xuong memory sau	ghi cache, xuống memory sau
Anh xa	Ánh xạ
lenh don gian, de pipeline	lệnh đơn giản, dễ pipeline
lenh phuc tap, manh nhung kho toi uu	lệnh phức tạp, mạnh nhưng khó tối ưu
muc hieu	mức hiểu
thiet bi I/O trao doi truc tiep voi memory khong qua CPU tung byte	thiết bị I/O trao đổi trực tiếp với memory không qua CPU từng byte
giam tai CPU	giảm tải CPU
chia bank de truy cap song song	chia bank để truy cập song song
chuong trinh thay khong gian dia chi lon hon RAM vat ly	chương trình thấy không gian địa chỉ lớn hơn RAM vật lý
Dia tu	Đĩa từ
mat dia	mặt đĩa
dau tu	đầu từ
ranh	ránh
cac track thang hang tren cac mat	các track thẳng hàng trên các mặt
doi dau	đổi đầu
cho sector quay toi	chờ sector quay tới
Dung luong	Dung lượng
so mat	số mặt
so track/mat	số track/mặt
so sector/track	số sector/track
so byte/sector	số byte/sector
ghep nhieu dia	ghép nhiều đĩa
nhanh, khong du phong	nhanh, không dự phòng
sao guong, an toan	sao gương, an toàn
can bang	cân bằng
parity kep	parity kép
De hay hoi trade-off toc do / do tin cay / dung luong hieu dung	Đề hay hỏi trade-off tốc độ / độ tin cậy / dung lượng hiệu dụng
doc/ghi bang laser	đọc/ghi bằng laser
phu hop phat hanh, luu tru thuy dong	phù hợp phát hành, lưu trữ thụ động
truy cap nhanh, chiu soc, it on	truy cập nhanh, chịu sốc, ít ồn
thuong dat hon HDD theo GB	thường đắt hơn HDD theo GB
co gioi han so lan ghi	có giới hạn số lần ghi
re, dung luong lon, access tuan tu	rẻ, dung lượng lớn, access tuần tự
chu yeu backup/archive	chủ yếu backup/archive
nhan chu	nhận chữ
to tram	tô trám
sec ngan hang	séc ngân hàng
kim, phun, laser	kim, phun, laser
CPU cho/polling - don gian nhung ton CPU	CPU chờ/polling - đơn giản nhưng tốn CPU
thiet bi ngat khi xong	thiết bị ngắt khi xong
may lon	máy lớn
pho bien, hot-plug	phổ biến, hot-plug
o dia	ổ đĩa
card mo rong toc do cao	card mở rộng tốc độ cao
hinh anh	hình ảnh
khong day	không dây
tin hieu yeu cau CPU tam dung viec hien tai de xu ly su kien	tín hiệu yêu cầu CPU tạm dừng việc hiện tại để xử lý sự kiện
co muc uu tien va vector ngat	có mức ưu tiên và vector ngắt
Chuong nay phan loai he thong xu ly thong tin	Chương này phân loại hệ thống xử lý thông tin
danh gia hieu nang/do tin cay	đánh giá hiệu năng/độ tin cậy
giao dien nguoi-may va multimedia	giao diện người-máy và multimedia
dua 1 loat chi thi, may chay den het	đưa 1 loạt chỉ thị, máy chạy đến hết
nguoi khong can thiep giua chung	người không can thiệp giữa chừng
nguoi va may trao doi tung buoc qua man hinh/lenh	người và máy trao đổi từng bước qua màn hình/lệnh
Can UI tot	Cần UI tốt
de nang nang suat nguoi dung	để nâng năng suất người dùng
gom du lieu roi xu ly 1 luc vao thoi diem dinh	gom dữ liệu rồi xử lý 1 lúc vào thời điểm định
tinh luong, cuoi ngay	tính lương, cuối ngày
Khong can phan hoi tuc thi	Không cần phản hồi tức thì
mang du lieu ve trung tam	mang dữ liệu về trung tâm
gui job tu xa	gửi job từ xa
user tu thao tac	user tự thao tác
user nhap, operator chay	user nhập, operator chạy
cap nhat master/DB theo giao dich	cập nhật master/DB theo giao dịch
Can ACID	Cần ACID
het hoac khong	hết hoặc không
khong mau thuan	không mâu thuẫn
khong xen lan sai	không xen lẫn sai
da commit thi con sau su co	đã commit thì còn sau sự cố
co yeu cau den la xu ly ngay	có yêu cầu đến là xử lý ngay
tre han gay hau qua nghiem trong	trễ hạn gây hậu quả nghiêm trọng
tui khi, dieu khien an toan	túi khí, điều khiển an toàn
tre han khong gay chet nguoi	trễ hạn không gây chết người
dat cho	đặt chỗ
xu ly tap trung 1 may/trung tam	xử lý tập trung 1 máy/trung tâm
de quan tri nhung de SPOF va kho mo rong	dễ quản trị nhưng dễ SPOF và khó mở rộng
chia viec tren nhieu may	chia việc trên nhiều máy
Can dong bo, mang, bao mat, giao thuc	Cần đồng bộ, mạng, bảo mật, giao thức
client yeu cau, server cung cap dich vu	client yêu cầu, server cung cấp dịch vụ
noi tiep	nối tiếp
ca he thong chi OK khi MOI thanh phan OK	cả hệ thống chỉ OK khi MỌI thành phần OK
do tin cay giam khi ghep them	độ tin cậy giảm khi ghép thêm
song song	song song
he thong OK neu IT NHAT 1 nhanh OK	hệ thống OK nếu ÍT NHẤT 1 nhánh OK
tang do tin cay, ton tai nguyen	tăng độ tin cậy, tốn tài nguyên
may du phong dang chay san	máy dự phòng đang chạy sẵn
bat khi can	bật khi cần
khi loi thi ve trang thai an toan	khi lỗi thì về trạng thái an toàn
giam chuc nang nhung van chay duoc phan con lai	giảm chức năng nhưng vẫn chạy được phần còn lại
chiu loi van hoat dong dung	chịu lỗi vẫn hoạt động đúng
thoi gian tu gui yeu cau den nhan tra loi	thời gian từ gửi yêu cầu đến nhận trả lời
quan trong interactive	quan trọng interactive
thoi gian tu nop job den nhan toan bo ket qua	thời gian từ nộp job đến nhận toàn bộ kết quả
quan trong batch	quan trọng batch
so viec/giao dich hoan thanh tren 1 don vi thoi gian	số việc/giao dịch hoàn thành trên 1 đơn vị thời gian
trieu lenh may / giay	triệu lệnh máy / giây
so sanh tho, phu thuoc tap lenh	so sánh thô, phụ thuộc tập lệnh
phep toan thuc	phép toán thực
phan khong song song hoa duoc se gioi han toc do tang khi them CPU	phần không song song hóa được sẽ giới hạn tốc độ tăng khi thêm CPU
thoi gian trung binh giua 2 lan hong	thời gian trung bình giữa 2 lần hỏng
cang lon cang tot	càng lớn càng tốt
thoi gian trung binh sua xong	thời gian trung bình sửa xong
cang nho cang tot	càng nhỏ càng tốt
ty le hong	tỷ lệ hỏng
nhan cac R	nhân các R
dau doi (hong som)	đầu đời (hỏng sớm)
on dinh	ổn định
cuoi doi (hao mon)	cuối đời (hao mòn)
hieu nang tren chi phi	hiệu năng trên chi phí
tong chi phi so huu	tổng chi phí sở hữu
mua + van hanh + bao tri + dien + nhan su	mua + vận hành + bảo trì + điện + nhân sự
Can can nhac	Cần cân nhắc
loi nhuan / von dau tu	lợi nhuận / vốn đầu tư
thiet ke de nguoi dung hieu va thao tac de, it loi	thiết kế để người dùng hiểu và thao tác dễ, ít lỗi
hieu qua, hieu suat, hai long	hiệu quả, hiệu suất, hài lòng
do hoa	đồ họa
dong lenh	dòng lệnh
Nguyen tac	Nguyên tắc
giam loi nguoi dung	giảm lỗi người dùng
mau sac, font, do tuong phan, bo cuc man hinh, giam moi mat	màu sắc, font, độ tương phản, bố cục màn hình, giảm mỏi mắt
ho tro nguoi khuyet tat	hỗ trợ người khuyết tật
nhom thong tin hop ly	nhóm thông tin hợp lý
default an toan	default an toàn
thong bao loi ro rang	thông báo lỗi rõ ràng
ket hop	kết hợp
Nen mat mat	Nén mất mát
file nho, mat 1 phan chat luong	file nhỏ, mất 1 phần chất lượng
giu nguyen	giữ nguyên
phat trong khi tai	phát trong khi tải
thoai tren IP	thoại trên IP
Ung dung	Ứng dụng
dao tao, giai tri	đào tạo, giải trí
y te, hoi nghi truyen hinh	y tế, hội nghị truyền hình
Phan loai phan mem	Phân loại phần mềm
la cau noi giua phan cung va nguoi dung	là cầu nối giữa phần cứng và người dùng
quan ly/hieu qua hoa hardware	quản lý/hiệu quả hóa hardware
phuc vu muc tieu nguoi dung	phục vụ mục tiêu người dùng
ke toan, van phong	kế toán, văn phòng
quan ly tai nguyen	quản lý tài nguyên
cung cap moi truong chay chuong trinh	cung cấp môi trường chạy chương trình
toi thieu	tối thiểu
nhieu chuc nang gom	nhiều chức năng gồm
han che quyen	hạn chế quyền
toan quyen	toàn quyền
chuyen vao kernel mode	chuyển vào kernel mode
bat nguon	bật nguồn
nap OS	nạp OS
chon OS	chọn OS
nap qua mang	nạp qua mạng
Bootloader thuong nam	Bootloader thường nằm
nen/giai nen	nén/giải nén
dich chuong trinh	dịch chương trình
nam giua OS va ung dung	nằm giữa OS và ứng dụng
tra phi, ma nguon dong	trả phí, mã nguồn đóng
mien phi dung, chua chac open source	miễn phí dùng, chưa chắc open source
dung thu	dùng thử
ma nguon mo	mã nguồn mở
giay phep	giấy phép
can hieu nghia vu chia se khi chinh sua/phat hanh	cần hiểu nghĩa vụ chia sẻ khi chỉnh sửa/phát hành
nhat la GPL	nhất là GPL
khong con ban quyen	không còn bản quyền
thue dich vu qua mang, khong can cai local	thuê dịch vụ qua mạng, không cần cài local
OS quan ly	OS quản lý
nhieu tien trinh dung CPU xen ke	nhiều tiến trình dùng CPU xen kẽ
nhieu luong trong 1 process	nhiều luồng trong 1 process
Muc tieu	Mục tiêu
cong bang	công bằng
Dong bo	Đồng bộ
xay ra khi du 4 dieu kien	xảy ra khi đủ 4 điều kiện
Xu ly	Xử lý
trang co dinh	trang cố định
qua nhieu page fault vi thieu frame	quá nhiều page fault vì thiếu frame
dong bo xu ly su kien I/O va loi	đồng bộ xử lý sự kiện I/O và lỗi
chay nhieu VM	chạy nhiều VM
ma 0/1 may hieu truc tiep	mã 0/1 máy hiểu trực tiếp
gan voi lenh may	gần với lệnh máy
gan ngon ngu nguoi	gần ngôn ngữ người
huong khai bao	hướng khai báo
dich ca source	dịch cả source
roi link thanh load module	rồi link thành load module
chay nhanh	chạy nhanh
dich va chay tung phan	dịch và chạy từng phần
linh hoat, de debug	linh hoạt, dễ debug
Thuoc tinh chuong trinh	Thuộc tính chương trình
nhieu user chay chung code an toan	nhiều user chạy chung code an toàn
doi duoc dia chi nap	đổi được địa chỉ nạp
tap hop record	tập hợp record
record gom field	record gồm field
de nhan dang/tim kiem	để nhận dạng/tìm kiếm
Truy cap	Truy cập
lan luot	lần lượt
theo dia chi/key	theo địa chỉ/key
To chuc file	Tổ chức file
Anh huong hieu nang	Ảnh hưởng hiệu năng
quan ly cay thu muc tren PC	quản lý cây thư mục trên PC
luu nhieu the he	lưu nhiều thế hệ
thu thuat restore	thủ thuật restore
dong goi lau dai	đóng gói lâu dài
Can ma hoa/bao mat file nhay cam	Cần mã hóa/bảo mật file nhạy cảm
giai quyet trung lap va mau thuan du lieu	giải quyết trùng lặp và mâu thuẫn dữ liệu
khi dung nhieu file rieng le	khi dùng nhiều file riêng lẻ
la trong tam de FE	là trọng tâm đề FE
Moi chuong trinh tu tao file	Mỗi chương trình tự tạo file
de trung lap muc du lieu	dễ trùng lặp mục dữ liệu
sua 1 cho khong dong bo cho khac	sửa 1 chỗ không đồng bộ chỗ khác
quan ly tich hop	quản lý tích hợp
doi cau truc it anh huong chuong trinh	đổi cấu trúc ít ảnh hưởng chương trình
quyen truy cap	quyền truy cập
Thiet ke CSDL	Thiết kế CSDL
mo ta nghiep vu, chua phu thuoc DBMS	mô tả nghiệp vụ, chưa phụ thuộc DBMS
cau truc logic	cấu trúc logic
bang, quan he	bảng, quan hệ
kieu luu, index, file vat ly	kiểu lưu, index, file vật lý
1-nhieu cay	1-nhiều cây
nhieu-nhieu	nhiều-nhiều
bang 2 chieu	bảng 2 chiều
pho bien nhat	phổ biến nhất
tap gia tri hop le	tập giá trị hợp lệ
gia tri thuc te	giá trị thực tế
Phep toan quan he	Phép toán quan hệ
chon hang	chọn hàng
chon cot	chọn cột
ket bang	kết bảng
Phep tap hop	Phép tập hợp
Them insert/update/delete	Thêm insert/update/delete
hinh chu nhat	hình chữ nhật
hinh thoi	hình thoi
gia tri nguyen to, khong lap nhom	giá trị nguyên tố, không lặp nhóm
het phu thuoc 1 phan khoa	hết phụ thuộc 1 phần khóa
het phu thuoc bay	hết phụ thuộc bắc cầu
Muc tieu giam redundancy	Mục tiêu giảm redundancy
va anomaly	và anomaly
cung cap	cung cấp
dinh nghia	định nghĩa
thao tac	thao tác
giong transaction processing chuong 2	giống transaction processing chương 2
co the xay ra	có thể xảy ra
co them	có thêm
ghi log	ghi log
lui	lùi
tien	tiến
sau su co	sau sự cố
ghi log truoc khi ghi data	ghi log trước khi ghi data
ao hoa	ảo hóa
phan quyen	phân quyền
tang toc truy van	tăng tốc truy vấn
them/sua/xoa cot hay rang buoc	thêm/sửa/xóa cột hay ràng buộc
Kieu hay gap	Kiểu hay gặp
khop 2 ben	khớp 2 bên
giu ben trai/phai ca khi khong khop	giữ bên trái/phải cả khi không khớp
Ham gom	Hàm gộp
long nhau	lồng nhau
can than thieu WHERE	cẩn thận thiếu WHERE
xac nhan giao dich	xác nhận giao dịch
huy	hủy
ket hop ket qua SELECT	kết hợp kết quả SELECT
viet/doc SQL	viết/đọc SQL
hieu ket qua JOIN	hiểu kết quả JOIN
va GROUP BY	và GROUP BY
phan biet WHERE vs HAVING	phân biệt WHERE vs HAVING
CSDL phan tan	CSDL phân tán
du lieu o nhieu site	dữ liệu ở nhiều site
can location transparency	cần location transparency
dam bao atomic toan cuc	đảm bảo atomic toàn cục
sao chep	sao chép
chia ngang/doc	chia ngang/dọc
de hieu nang va san sang	để hiệu năng và sẵn sàng
Kho du lieu phan tich	Kho dữ liệu phân tích
dac trung	đặc trưng
nap du lieu	nạp dữ liệu
theo phong ban	theo phòng ban
cho big data / linh hoat schema	cho big data / linh hoạt schema
biet phan biet voi RDB la du o muc FE	biết phân biệt với RDB là đủ ở mức FE
Tu mo hinh mang	Từ mô hình mạng
den dich vu Internet va quan tri mang	đến dịch vụ Internet và quản trị mạng
Loai mang va cau hinh	Loại mạng và cấu hình
pham vi nho	phạm vi nhỏ
van phong	văn phòng
toc do cao	tốc độ cao
rong dia ly	rộng địa lý
thanh pho	thành phố
ca nhan	cá nhân
noi bo TCP/IP	nội bộ TCP/IP
mo rong doi tac	mở rộng đối tác
toan cau	toàn cầu
chia se collision domain	chia sẻ collision domain
chia port, giam collision	chia port, giảm collision
dinh tuyen giua mang	định tuyến giữa mạng
khac giao thuc	khác giao thức
Ky thuat truyen va dich vu	Kỹ thuật truyền và dịch vụ
tan so	tần số
thoi gian	thời gian
buoc song quang	bước sóng quang
kenh co dinh, giong dien thoai	kênh cố định, giống điện thoại
chia goi	chia gói
xa, bang thong rong, it nhieu	xa, băng thông rộng, ít nhiễu
song vo tuyen/vi song/ve tinh	sóng vô tuyến/vi sóng/vệ tinh
Phat hien loi	Phát hiện lỗi
sua loi	sửa lỗi
Dieu khien truyen	Điều khiển truyền
dong bo hoa, khung	đồng bộ hóa, khung
Truy cap duong truyen	Truy cập đường truyền
co dien	cổ điển
Dich vu	Dịch vụ
di dong	di động
uu tien luu luong	ưu tiên lưu lượng
HOC THUOC	HỌC THUỘC
dich vu ung dung cho chuong trinh	dịch vụ ứng dụng cho chương trình
truyen file, truy van DB tu xa	truyền file, truy vấn DB từ xa
ma hoa, nen, chuyen doi cu phap du lieu	mã hóa, nén, chuyển đổi cú pháp dữ liệu
quan ly phien, diem dong bo, quyen noi	quản lý phiên, điểm đồng bộ, quyền nói
truyen end-to-end tin cay	truyền end-to-end tin cậy
dia chi logic, routing, chuyen tiep goi	địa chỉ logic, routing, chuyển tiếp gói
tin cay giua 2 nut ke	tin cậy giữa 2 nút kề
bit, dien ap, day, connector, toc do xung	bit, điện áp, dây, connector, tốc độ xung
dung dich vu lop N-1	dùng dịch vụ lớp N-1
protocol giua 2 entity cung lop 2 dau mut	protocol giữa 2 entity cùng lớp 2 đầu mút
La de facto cua Internet	Là de facto của Internet
ten mien	tên miền
cap phat IP dong	cấp phát IP động
dinh kem da phuong tien	đính kèm đa phương tiện
quan tri mang	quản trị mạng
login tu xa	login từ xa
an toan hon	an toàn hơn
dong bo gio	đồng bộ giờ
media thoi gian thuc	media thời gian thực
huong ket noi, tin cay, kiem soat luong	hướng kết nối, tin cậy, kiểm soát luồng
