type,src_id,src_line,mln_num,score,ans_526,ans_mln,note,question_526
kieu_no_src_ans,Kieu#26,195,29,1.00,(none),B,verify manually,"Về vị trí lịch sử, kinh tế thị trường có đặc điểm gì?"
kieu_no_src_ans,Kieu#209,1511,224,1.00,(none),B,verify manually,Tích lũy tư bản là gì?
kieu_no_src_ans,Kieu#354,2523,374,1.00,(none),B,verify manually,Hàng hóa là gì?
unmatched_src,Kieu sau #347,2472,366,0.50,,B,needs manual,Tuần hoàn tư bản là sự vận động của tư bản lần lượt trải qua ba giai đoạn dưới hình thái nào?
unmatched_src,Kieu sau #282,2012,314,0.62,Lao động con người,B,needs manual,"Trong các yếu tố sau đây, yếu tố nào là nguồn gốc của giá trị hàng hóa?"
unmatched_src,#176,1268,461,0.45,B,C,needs manual,Những nhân tố nào ảnh hưởng đến quy mô của tích lũy tư bản?
unmatched_src,Kieu sau #68,505,5,0.40,Đầu tư tư bản trực tiếp thu lợi nhuận ở nước ngoài,A,needs manual,Đâu không phải là mục đích của hội nhập kinh tế quốc tế?
unmatched_src,#347,2466,416,0.36,B,B,needs manual,Tuần hoàn của tư bản công nghiệp trải qua mãy giai đoạn?
unmatched_src,#220,1588,,0.00,A,,needs manual,hay không?
leftover_mln,,,66,,,B,in ghi chu or weak map,Hoạt động nào của con người được coi là cơ bản nhất và là cơ sở của đời sống xã hội?
leftover_mln,,,136,,,D,in ghi chu or weak map,Chức năng khoa học
leftover_mln,,,194,,,C,in ghi chu or weak map,Xuất khẩu hàng hóa là một trong những đặc điểm của:
leftover_mln,,,309,,,C,in ghi chu or weak map,"Theo kinh tế - chính trị Mác - Lênin, loại tiền nào có chức năng cất trữ?"
leftover_mln,,,360,,,A,in ghi chu or weak map,"Gọi W là giá trị hàng hóa, vậy công thức tính giá trị hàng hóa là gì?"
leftover_mln,,,364,,,A,in ghi chu or weak map,Đâu là nguồn (cơ sở) của tích lũy tư bản?
leftover_mln,,,412,,,C,in ghi chu or weak map,Mô hình kinh tế thị trường định hướng xã hội chủ nghĩa ở nước ta được chính thức nêu ra ở Đại hội nào của Đảng Cộng sản 
low_conf_match,#345,2452,188,0.73,A,B,score 0.72-0.9,Đâu KHÔNG phải là nhân tố ảnh hưởng đến quy mô tích luỹ tư bản?
low_conf_match,Kieu sau #234,1691,366,0.73,Lưu thông - sản xuất - lưu thông,B,score 0.72-0.9,Ba giai đoạn vận động của tuần hoàn tư bản công nghiệp là:
