subject,local_subject,remote_id,num,answer,source,question
mln122,mln,541,541,AB,fuexam,Hàng hóa được trao đổi với nhau dựa trên yếu tố nào?
mln122,mln,542,542,B,fuexam,"Cụm từ nào thích hợp để điền vào dầu ( ) sau: ""Kinh tế thị trường định hướng ( ) là nền kinh tế vận hành theo các quy luật của ( )"""
mln122,mln,543,543,A,fuexam,Cơ chế thị trường được Adam Smith vị như
mln122,mln,544,544,B,fuexam,Hai phương pháp sản xuất giá trị thông dư là
mln122,mln,545,545,B,fuexam,Quy luật kinh tế tôn tại mang tính chất:
mln122,mln,546,546,A,fuexam,Người phát minh ra con thoi - một cải tiến của khung dệt và là một đồng góp quan trọng cho cách mạng công nghiệp lần thứ nhất là
mln122,mln,548,548,A,fuexam,Cách mạng công nghiệp lần thứ nhất khởi phát từ nước nào?
mln122,mln,549,549,A,fuexam,Quy luật giá trị yêu cầu sản xuất và trao đổi hàng hoà phải tiến hành trên cơ sở nào
mln122,mln,550,550,ABC,fuexam,Nguyên nhân hình thành độc quyền trong nền kinh tế thị trường ở các nước tư bản chủ nghĩa là gì?
mln122,mln,551,551,A,fuexam,"""Xây dựng nền kinh tế tự chủ phải trên cơ sở làm chủ công nghệ và chủ động, tích cực hội nhập, đa dạng hóa thị trường, nâng cao khả năng thích ứng với nền kinh tế..."" Nội dung trên được trích trong văn kiện nào của Đảng?"
mln122,mln,553,553,D,fuexam,"Theo nghĩa trừu tượng, thị trường được hiểu như thế nào?"
mln122,mln,554,554,B,fuexam,"Trong tuần hoàn từ bán, giai đoạn đầu tiên - giai đoạn lưu thông tư bản tồn tại dưới hình thái gì?"
mln122,mln,555,555,AB,fuexam,Để sức lao động trở thành hàng hóa thì cần những điều kiện nào?
mln122,mln,556,556,A,fuexam,Tiên trong nên sản xuất hàng hóa giản đơn vận động trong quan hệ nào sau đây?
mln122,mln,557,557,D,fuexam,Đối tượng nghiên cứu của Kinh tế chính trị Mác - Lênin là
mln122,mln,558,558,B,fuexam,Tư bản tài chính có nguồn gốc từ đầu?
mln122,mln,560,560,C,fuexam,"Nhận định ""tự do cạnh tranh đẻ ra tập trung sản xuất và sự tập trung sản xuất này, phát triển tới một mức độ nhất định, lại dẫn tới độc quyền"" là của ai?"
mln122,mln,561,561,B,fuexam,Vai trò của các bộ phận tư bản trong chu chuyển từ bản được xác định trong phạm trù
mln122,mln,563,563,B,fuexam,Hàng hoá sức lao động khác hàng hoá thông thường ở chỗ nào?
mln122,mln,564,564,C,fuexam,Tính hai mặt của lao động sản xuất hàng hoá bao gồm các mặt nào?
mln122,mln,566,566,A,fuexam,"Trong quan hệ với cường độ lao động, lượng giá trị của đơn vị hàng hoá tương quan thế nào?"
mln122,mln,567,567,A,fuexam,"Trên giác độ kinh tế chính trị, lao động trừu tượng được hiểu như thế nào?"
mln122,mln,568,568,B,fuexam,Dựa vào căn cứ nào để chia tư bản thành tư bản bất biến và tư bản khả biến?
mln122,mln,569,569,A,fuexam,Địa tô chênh lệch II được thu trên ruộng đất nào?
mln122,mln,570,570,C,fuexam,Loại tái sản xuất nào làm tăng sản phẩm chủ yếu do tăng năng suất lao động và hiệu quả sử dụng các nguồn lực?
mln122,mln,571,571,AC,fuexam,(Chọn nhiều phương án) Mục đích hình thành độc quyền nhà nước trong chủ nghĩa tư bản đó là:
mln122,mln,572,572,C,fuexam,Chủ nghĩa tư bản ra đời khi nào?
mln122,mln,573,573,A,fuexam,Chính sách thực dân trong thời đại chủ nghĩa đế quốc tư bản đã tạo ra những hình thức lệ thuộc mới có tính quá độ của các nước đó là các hình thức nào?
mln122,mln,574,574,AB,fuexam,"(Chọn nhiều đáp án) Sau những năm 50 của thế kỷ XX, chủ nghĩa tư bản chuyển sang chính sách thực dân mới đó là:"
mln122,mln,575,575,A,fuexam,Đâu là một trong những nguyên nhân dẫn đến sự sụp đổ của Liên Xô và Đông Âu?
mln122,mln,576,576,B,fuexam,Các tổ chức độc quyền sử dụng giá cả độc quyền để làm gì?
mln122,mln,577,577,B,fuexam,"Quan điểm cho rằng, xã hội loài người phát triển dựa theo những quy luật tự nhiên thuộc về trường phái nào?"
mln122,mln,578,578,AC,fuexam,(Chọn hai đáp án) Mục tiêu của kinh tế thị trường định hướng xã hội chủ nghĩa ở Việt Nam là gì?
mln122,mln,579,579,A,fuexam,Đâu là các đại diện tiêu biểu của trường phái kinh tế chính trị cổ điển Anh?
mln122,mln,580,580,AB,fuexam,(Chọn hai đáp án) Theo
mln122,mln,581,581,B,fuexam,Chính sách kinh tế được hiểu là hoạt động mang tính chất
mln122,mln,582,582,D,fuexam,Đâu không phải là chức năng của kinh tế chính trị Mác - Lênin?
mln122,mln,583,583,A,fuexam,Giá trị hàng hoá được tạo ra từ quá trình nào?
mln122,mln,584,584,C,fuexam,Khi sản xuất và trao đổi hàng hóa phát triển đòi hỏi phải có một vật ngang giá chung xuất hiện ở hình thái nào?
mln122,mln,585,585,A,fuexam,Dựa vào căn cứ nào để phân chia thị trường hàng hoá và thị trường dịch vụ?
mln122,mln,586,586,AC,fuexam,(Chọn hai đáp án) Đâu là thuộc tính của hàng hóa sức lao động?
mln122,mln,587,587,ABC,fuexam,"Theo quan điểm của kinh tế chính trị Mác - Lênin, các nhân tố nào ảnh hưởng tới tỷ suất lợi nhuận trong các nhân tố sau đây?"
mln122,mln,588,588,AB,fuexam,(Chọn các phương án đúng) Tư bản cho vay trong chủ nghĩa tư bản có những đặc điểm nào?
mln122,mln,589,589,ABC,fuexam,Giá trị thặng dư biểu hiện cụ thể thông qua các hình thái nào?
mln122,mln,590,590,C,fuexam,Hãy chỉ ra đâu không phải là nguyên nhân hình thành độc quyền?
mln122,mln,591,591,ABC,fuexam,"(Lựa chọn 3 đáp án) Trong trạng thái độc quyền, cạnh tranh trong nội bộ các tổ chức độc quyền nhằm mục đích gì?"
mln122,mln,592,592,B,fuexam,Các tài phiệt thực hiện sự thống trị thông qua cách thức nào?
mln122,mln,593,593,C,fuexam,"Một hệ giá trị toàn diện gồm cả dân giàu, nước mạnh, dân chủ, công bằng, văn minh là hệ giá trị của xã hội nào mà loài người phải phấn đấu?"
mln122,mln,594,594,D,fuexam,"Hoàn thiện thể chế đảm bảo gắn tăng trưởng kinh tế với đảm bảo tiến bộ và công bằng xã hội, Việt Nam cần thực hiện những nhiệm vụ nào?"
mln122,mln,595,595,A,fuexam,Nội dung cơ bản của Cách mạng công nghiệp lần thứ nhất là gì?
mln122,mln,596,596,ABC,fuexam,"(Chọn 3 đáp án) Cơ cấu kinh tế là tổng thể quan hệ hữu cơ, phụ thuộc và quy định lẫn nhau về quy mô và trình độ của cơ cấu nào trong các cơ cấu sau đây?"
mln122,mln,597,597,A,fuexam,Xét về bản chất lợi ích kinh tế phản ánh điều gì?
prm393,prm,58,58,B,fuexam_image,What does Curves/Animation provide?
prm393,prm,99,99,A,slides,"According to Flutter architecture overview, which three layers are described?"
prm393,prm,100,100,B,slides,What is the correct high-level rendering workflow in Flutter?
prm393,prm,101,101,C,slides,Which statement matches a key concept of Flutter UI?
prm393,prm,102,102,B,slides,Which engine technology does Flutter use for rendering (as mentioned in slides)?
prm393,prm,103,103,A,slides,"Compared with React Native in the comparison table, Flutter uses which language?"
prm393,prm,104,104,B,slides,What is a main benefit of Flutter listed in the introduction slides?
prm393,prm,105,105,C,slides,Which command verifies Flutter SDK installation after adding PATH?
prm393,prm,106,106,A,slides,What is DartPad mainly useful for according to the slides?
prm393,prm,107,107,B,slides,"When installing Android Studio for Flutter, which plugin is required?"
prm393,prm,108,108,C,slides,Dart in Flutter is described as supporting which compilation modes?
prm393,prm,109,109,B,slides,Which collection type stores ordered elements that may contain duplicates?
prm393,prm,110,110,A,slides,Which collection stores unique values only?
prm393,prm,111,111,C,slides,What does a Map primarily store in Dart?
prm393,prm,112,112,B,slides,Which keyword creates a compile-time constant in Dart?
prm393,prm,113,113,A,slides,What is null safety designed to help with?
prm393,prm,114,114,C,slides,"If a non-nullable variable is not initialized before use, what typically happens?"
prm393,prm,115,115,B,slides,Which statement about Dart classes is correct?
prm393,prm,116,116,A,slides,"What does string interpolation like ""$name"" do?"
prm393,prm,117,117,B,slides,Which type annotation is appropriate for a list of integers?
prm393,prm,118,118,C,slides,Functions in Dart are described as:
prm393,prm,119,119,B,slides,What is a common use of a factory constructor mentioned in slides?
prm393,prm,120,120,A,slides,Why is async/await important in Flutter apps?
prm393,prm,121,121,C,slides,What does a Future represent?
prm393,prm,122,122,B,slides,What does a Stream provide compared to a single Future?
prm393,prm,123,123,A,slides,How do packages and imports help structure Dart code?
prm393,prm,124,124,B,slides,What is .fromJson() typically used for?
prm393,prm,125,125,C,slides,Which practice is recommended for long-running CPU work?
prm393,prm,126,126,A,slides,What does await do when used with a Future?
prm393,prm,127,127,B,slides,Which is a valid reason to use a singleton via factory?
prm393,prm,128,128,C,slides,Generics in Dart mainly help you:
prm393,prm,129,129,B,slides,What is the role of BuildContext?
prm393,prm,130,130,A,slides,What does setState() do in a StatefulWidget?
prm393,prm,131,131,C,slides,Which widget arranges children vertically?
prm393,prm,132,132,B,slides,Which widget allows children to overlap?
prm393,prm,133,133,A,slides,What is Scaffold typically used for?
prm393,prm,134,134,B,slides,What does a Switch widget primarily toggle?
prm393,prm,135,135,C,slides,Why use const widgets when possible?
prm393,prm,136,136,A,slides,What does ThemeData primarily define?
prm393,prm,137,137,B,slides,What does the build() method return?
prm393,prm,138,138,C,slides,StatelessWidget is best when:
prm393,prm,139,139,A,slides,crossAxisAlignment in a Column controls alignment along which axis?
prm393,prm,140,140,B,slides,Which widget is best for fixed empty space of a given size?
prm393,prm,141,141,B,slides,What is a key idea of Navigator 2.0 in the slides?
prm393,prm,142,142,A,slides,What is deep linking used for?
prm393,prm,143,143,C,slides,Where do you typically configure Android deep link intent filters?
prm393,prm,144,144,B,slides,BLoC architecture primarily separates:
prm393,prm,145,145,A,slides,What is the output of a BLoC typically?
prm393,prm,146,146,B,slides,What do events do in BLoC?
prm393,prm,147,147,C,slides,Why is immutability important for BLoC states?
prm393,prm,148,148,A,slides,How can data be passed to a new screen in common Flutter practice?
prm393,prm,149,149,B,slides,Which widget rebuilds when a Stream emits new data?
prm393,prm,150,150,A,slides,Why separate UI and state logic?
prm393,prm,151,151,C,slides,What does a route guard pattern aim to protect?
prm393,prm,152,152,B,slides,Provider is commonly used for:
prm393,prm,153,153,B,slides,What is the main goal of responsive UI?
prm393,prm,154,154,A,slides,What does GridView help build according to the slides?
prm393,prm,155,155,C,slides,Which API is commonly used to read screen size/orientation?
prm393,prm,156,156,B,slides,Adaptive layout typically means:
prm393,prm,157,157,A,slides,Expanded inside a Flex (Row/Column) is used to:
prm393,prm,158,158,B,slides,Why avoid hard-coded sizes for all devices?
prm393,prm,159,159,C,slides,LayoutBuilder is useful because it:
prm393,prm,160,160,A,slides,Which widget is commonly used for scrollable single-child content?
prm393,prm,161,161,B,slides,What is the primary purpose of forms in mobile apps?
prm393,prm,162,162,A,slides,TextEditingController is used to:
prm393,prm,163,163,C,slides,How do you typically hide password characters in a TextField?
prm393,prm,164,164,B,slides,What does FormState.reset() do?
prm393,prm,165,165,A,slides,A strong password validation demo in slides requires at least:
prm393,prm,166,166,C,slides,GlobalKey<FormState> is commonly used to:
prm393,prm,167,167,B,slides,Why validate user input before submit?
prm393,prm,168,168,A,slides,Async validation checks are useful when:
prm393,prm,169,169,C,slides,Which widget groups multiple fields for joint validation?
prm393,prm,170,170,B,slides,AutovalidateMode.onUserInteraction typically means:
prm393,prm,171,171,C,slides,Which HTTP method is typically used to retrieve data?
prm393,prm,172,172,B,slides,What is the purpose of parsing JSON?
prm393,prm,173,173,A,slides,Why is FutureBuilder useful for API data?
prm393,prm,174,174,B,slides,Which HTTP header commonly carries access credentials?
prm393,prm,175,175,D,slides,Which status code indicates a server error?
prm393,prm,176,176,A,slides,What does status code 404 typically mean?
prm393,prm,177,177,B,slides,What is pagination used for?
prm393,prm,178,178,C,slides,What is a refresh token used for?
prm393,prm,179,179,A,slides,"When calling APIs, why handle loading and error states in UI?"
prm393,prm,180,180,B,slides,POST is most appropriate when:
prm393,prm,181,181,C,slides,What does Content-Type: application/json indicate?
prm393,prm,182,182,A,slides,Why map JSON fields into model classes?
prm393,prm,183,183,B,slides,When are local files preferred over simple key–value storage?
prm393,prm,184,184,A,slides,Which package is commonly used for simple key-value storage?
prm393,prm,185,185,B,slides,What is Hive mainly used for?
prm393,prm,186,186,C,slides,Which plugin provides SQLite support in Flutter?
prm393,prm,187,187,A,slides,Which widget is often used to show async local storage reads?
prm393,prm,188,188,B,slides,Why should database operations be asynchronous?
prm393,prm,189,189,C,slides,path_provider is typically used to:
prm393,prm,190,190,A,slides,Which storage suits a small flag like 'onboardingCompleted'?
prm393,prm,191,191,B,slides,What is persistence in mobile apps?
prm393,prm,192,192,C,slides,Choosing SQLite is more appropriate when:
prm393,prm,193,193,B,slides,Why is secure authentication critical in mobile apps?
prm393,prm,194,194,A,slides,"After successful login with a mock token flow, what should you typically do?"
prm393,prm,195,195,C,slides,What is a token in authentication systems?
prm393,prm,196,196,B,slides,Why centralize authentication state?
prm393,prm,197,197,A,slides,Which widget can react to auth state exposed as a Stream?
prm393,prm,198,198,B,slides,What happens after successful login from a session perspective?
prm393,prm,199,199,C,slides,Storing tokens insecurely (plain SharedPreferences without care) risks:
prm393,prm,200,200,A,slides,Logout should typically:
prm393,prm,201,201,B,slides,Push notifications in this module are related to:
prm393,prm,202,202,C,slides,Protected routes should:
prm393,prm,203,203,C,slides,Which test type checks individual functions or classes?
prm393,prm,204,204,B,slides,Which Flutter test focuses on UI components/widgets?
prm393,prm,205,205,A,slides,What does an integration test verify?
prm393,prm,206,206,B,slides,Why are tests important for refactoring?
prm393,prm,207,207,A,slides,What is test isolation?
prm393,prm,208,208,C,slides,"Which tool helps debug Flutter apps (network, performance, etc.)?"
prm393,prm,209,209,B,slides,The Taskly demo app in slides is used to:
prm393,prm,210,210,A,slides,find.byType / find.text in widget tests are used to:
prm393,prm,211,211,C,slides,Mocking dependencies in unit tests helps:
prm393,prm,212,212,B,slides,Golden tests primarily verify:
prm393,prm,213,213,A,slides,What should you avoid doing inside build()?
prm393,prm,214,214,B,slides,Why extract list item widgets (e.g. TaskTile) and use Selector?
prm393,prm,215,215,C,slides,What is the main purpose of hot reload?
prm393,prm,216,216,B,slides,Which command builds a release APK?
prm393,prm,217,217,A,slides,Why use ValueKey(task.id) instead of UniqueKey() for list items?
prm393,prm,218,218,B,slides,GlobalKey warning in slides: GlobalKey is:
prm393,prm,219,219,C,slides,Which practice improves deployment security?
prm393,prm,220,220,A,slides,const widgets help performance because they:
prm393,prm,221,221,B,slides,What is technical debt?
prm393,prm,222,222,A,slides,Why is clean architecture beneficial?
prm393,prm,223,223,C,slides,App size analysis before deployment helps you:
prm393,prm,224,224,B,slides,Why decide architecture early?
jfe301,fe,1,1,B,fuexam,"A check digit for a 4-digit number abcd can be calculated as follows: mod((a*4+b*3+c*2+d*1), 10). When the check digit for the 4-digit number “7b42” is equal to 6, which of the following is the correct number to be put in b? Here, mod (x, y) returns the remainder after “x” is divided by “y”"
jfe301,fe,2,2,A,fuexam,Which of the following is an appropriate explanation of the spooling function?
jfe301,fe,3,3,D,fuexam,"Which of the following is a service delivery process that is defined, agreed, recorded, and managed in IT service management?"
jfe301,fe,4,4,C,fuexam,Which of the following is an appropriate description concerning the maturity level in the staged representation of CMMI?
jfe301,fe,5,5,C,fuexam,"Which of the following is equivalent to the result of the arithmetic expression “753₈ – A6₁₆”? Here, each number is written in radix notation; that is, the radix is represented by a subscript following the number."
jfe301,fe,6,6,C,fuexam,Which of following statement is INCORRECT of cloud computing?
jfe301,fe,7,7,D,fuexam,Which of the following statements is TRUE about the critical path in PERT?
jfe301,fe,8,8,D,fuexam,Which of the following is the most appropriate indicator that is directly helpful in managing software quality in a system development project?
jfe301,fe,9,9,A,fuexam,"The following statement is true/ false about CRM? Customer Relationship Management (CRM) is a cross-functional enterprise system driven by an integrated suite of software modules that supports the basic internal business processes of a company. CRM gives a company an integrated real-time view of its core business processes such as production, order processing, and inventory management, tied together by CRM applications software and a common database maintained by a database management system. CRM systems track business resources (such as cash, raw materials, and production capacity) and the status of commitments made by the business (such as customer orders, purchase orders, and employee payroll), no matter which department (manufacturing, purchasing, sales, accounting, and so on) has entered the data into the system. CRM facilitates information flow between all business functions inside the organization, and manages connections to outside stakeholders."
jfe301,fe,10,10,C,fuexam,Given the following inventory data: Item Annual Value ($) P 4000 Q 2500 R 1500 S 800 T 200 Which statement is correct according to ABC analysis?
jfe301,fe,11,11,A,fuexam,"Which of the following is a role of the program register (i.e., program counter) of the CPU?"
jfe301,fe,12,12,A,fuexam,"What is the function point value of a program that has the functions and characteristics shown in the table below? Here, the correction coefficient of complexity is 0.75."
jfe301,fe,13,13,A,fuexam,Which of the following is an appropriate technique that is used for implementing a queue as a data structure?
jfe301,fe,14,14,B,fuexam,"There is a digital video recording system installed with four security cameras. In this system, the video data from each camera is captured at 30 frames per second with a resolution of 640 × 480 pixels and a color depth of 16 bits per pixel, and then it is stored in the hard disk drive. Which of the following is the approximate storage capacity that is required for recording all video data for one minute? Here, 1 MB is 10^6 bytes, and 1 GB is 10^9 bytes."
jfe301,fe,15,15,A,fuexam,Which of the following is an appropriate combination of the fundamental object-oriented programming concepts?
jfe301,fe,16,16,B,fuexam,"A systems design is represented using several diagrams. When a system analyst wants to confirm the design information such as the relationships among functions and the interface among modules in a hierarchical manner, which of the following is the most appropriate diagram that should be inspected by the analyst?"
jfe301,fe,17,17,D,fuexam,Which of the following is a protocol for e-mail on the Internet that allows an e-mail client to access e-mail on a remote mail server?
jfe301,fe,18,18,A,fuexam,Determine which type of network class and default subnet mask of this IP address belong to? IP version 4 = 216.58.221.78
jfe301,fe,19,19,A,fuexam,"In a certain project, each of the 6 employee members needs to communicate on a one-to-one basis. What is the minimum number of paths needed to communicate in such a way?"
jfe301,fe,20,20,B,fuexam,"The syntax rules of the field identifier ""field ID"" are represented in BNF notation as shown below. When each ID is defined as an arbitrary sequence of letters and/or digits, which of the following should be inserted into the blank A? <field ID>::= <ID> | <field ID>.<ID> <ID>::= A <letter>::= a|b|c|d|e|f|g|h|i|j|k|l|m|n|o|p|q|r|s|t|u|v|w|x|y|z <digit>::= 0|1|2|3|4|5|6|7|8|9 a) <ID>.<letter>|<ID>.<digit> b) <ID><letter>|<ID><digit>|<ID>.<ID> c) <letter>|<digit>|<ID><letter>|<ID><digit> d) <letter><ID>|<digit><ID>"
jfe301,fe,21,21,D,fuexam,A GUI screen contains a candidate list from which a user can select an item. Which of the following is an appropriate case to adopt this data entry method?
jfe301,fe,22,22,B,fuexam,"When the binary tree shown in the figure below is stored in a one-dimensional array A under the following conditions, what is the array index of the node ""T""?"
jfe301,fe,23,23,A,fuexam,Which of the following is the appropriate combination of 4 color inks or toners for a full-color printer?
jfe301,fe,24,24,A,fuexam,Which of the following is a chart or a diagram that is often used in quality control to rank issues or problems in descending order of frequency?
jfe301,fe,25,25,B,fuexam,Which of the following is the appropriate flow of execution of SQL statements?
jfe301,fe,26,26,D,fuexam,"When the expression (A - 2 x (B + C) - D x E) x F in conventional infix notation is converted to the prefix expression, which of the following represents the resulting expression?"
jfe301,fe,27,27,B,fuexam,"Multiple directories having the names A and B are managed in the structure shown below. When the current directory is changed in order of \BA ->..\B -> \A, which of the following is the resulting current directory? Here, directories are specified as follows: [Methods to specify directories] (1) A directory is referenced as \directory name\directory name, where the directories on the path are listed and separated with \ (backslash) in sequence, followed by \ and the directory name. (2) The current directory is represented by. (one period). (3) The directory one level above is represented by.. (two periods). (4) When a reference begins with \, it is assumed that the root directory is omitted from the beginning of the reference. (5) When a reference does not start with \,.., or., it is assumed that \, which means that the reference is under the current directory, is omitted from the beginning of the reference."
jfe301,fe,28,28,D,fuexam,Which of the following is an appropriate description in comparison of how to safeguard IC cards and magnetic cards against forgery?
jfe301,fe,29,29,D,fuexam,Which of the following is an appropriate description concerning a use case diagram in UML?
jfe301,fe,30,30,B,fuexam,"A part of a program was changed to add a new function to a system in operation. Which of the following is the most appropriate environment that is used for testing the new program without affecting the system in operation, in order to determine whether or not the system can be brought into full operation?"
jfe301,fe,31,31,B,fuexam,Which of the following is an explanation of the use case diagram shown below?
jfe301,fe,32,32,D,fuexam,"Which of the following refers to online scams where thieves attempt to entice e-mail recipients into clicking on a link that takes them to a bogus website, and the website may prompt the recipient to provide personal information such as social security number, bank account number, and credit card number, and/or it may download malicious software onto the recipient's computer?"
jfe301,fe,33,33,A,fuexam,Which of the following is the appropriate item to be checked when the ordered software is delivered?
jfe301,fe,34,34,D,fuexam,Which of the following helps improve availability?
jfe301,fe,35,35,C,fuexam,Which of the following is the main purpose of a penetration test?
jfe301,fe,36,36,D,fuexam,"View the picture and choose right answer. As shown in the figure below, all the lines show signs of leveling off in the control chart of a program test. Which of the following can be inferred from this condition?"
jfe301,fe,37,37,B,fuexam,"Which of the following means product improvement, and product disposal are planned according to each stage of introduction, growth, maturity, and decline?"
jfe301,fe,38,38,A,fuexam,"What is the data remaining on the stack after doing the following operations, assume that from start, stack is empty? push 5 => push 10 => push 5 => pop => push 10 => push 10 => push 5 => pop => pop. Assume that stack is empty at first and sequence format 5, 8, 10 mean that 5 is at bottom of stack and 10 is at top of stack."
jfe301,fe,39,39,A,fuexam,"When ABC analysis is used to categorize product items in the table below, which of the following is the combination of the product numbers for the items that are categorized into the group ""A""?"
jfe301,fe,40,40,C,fuexam,Which of the following is the main task of a service desk?
jfe301,fe,41,41,C,fuexam,"There is a standard that can represent data in a hierarchical structure by enclosing data that corresponds to nesting with tags <N>, which means the start, and </N>, which means the end, and then linking the nesting these tags. Company A decides to comply with this standard and create a paper by using the structural rules: Structural rules A paper is composed of a header and a body text. The header is composed of a title and author information. Author information is composed of a name and a department. Which of the following is the appropriate header of a paper named “New Document Management” that is created by Jack Smith of the Information Systems Department (I/S Department) in accordance with this standard and these structural rules?"
jfe301,fe,42,42,C,fuexam,"In the RAID3 system shown below, three disks (Disks 0 through 2) for byte-striped data and one dedicated parity disk (Disk 3) are used as one volume. Parity byte Ap is generated by calculating the ""exclusive OR"" (⊕) of three bytes in Disks 0 through 2. For example, Ap(1-3) = A1 ⊕ A2 ⊕ A3. In the event of a disk failure, data recovery can be accomplished by using the information recorded on the remaining three error-free disks. Which of the following operations should be executed for this data recovery?"
jfe301,fe,43,43,A,fuexam,Which of the following is the most appropriate description concerning the exclusive control of a DBMS?
jfe301,fe,44,44,C,fuexam,Which of the following is a protocol for e-mail on the Internet that supports not only text but other data such as audio and images through message header extension?
jfe301,fe,45,45,B,fuexam,"There is an 8-bit register where integers are represented in binary by using 2's complement for negative numbers. When the decimal integer ""-24"" is stored in the register and then arithmetically shifted 2 bits right, what is the resulting value in decimal? Here, the leftmost bit of the register is used as a sign bit."
jfe301,fe,46,46,D,fuexam,Which of the following is an activity performed during the external design phase of system development?
jfe301,fe,47,47,C,fuexam,"According to a survey of 100 students, there are 40 students studying English, 30 studying French, and 25 studying Spanish. In addition, 8 students are studying English and French, 6 are studying English and Spanish, 5 are studying French and Spanish, and 22 are not studying any of the three languages. Which of the following is the number of students studying all three languages?"
jfe301,fe,48,48,C,fuexam,"When CPU processing and printing are performed for four jobs under the conditions below, how many minutes does it take to complete them from the start of the first CPU processing until the end of the last printing? [Conditions] (1) The multiplicity of jobs is 1 during execution. (2) The CPU processing time of each job is 20 minutes. (3) 400 Mbytes of printing data are spooled for each job when the CPU processing ends. The printing function of the OS operates after spooling is completed, and printing is performed by the printer. (4) One printer is available, and the printing speed is 10 minutes per 100 Mbytes. (5) The functions of CPU processing and printing can operate in parallel, and do not affect each other. (6) The time period that is not mentioned in the conditions, such as the time required for spooling, can be ignored."
jfe301,fe,49,49,B,fuexam,"It focuses on system implementation behavior and is preferred over verification for the following reasons: - It facilitates the consideration of environmental factors that influence system behavior. - It allows feature interaction. A key its feature is error detection, which ensures correct functional implementation. What is kind of testing?"
jfe301,fe,50,50,B,fuexam,Which of the following is INCORRECT formular to determine break-event point?
jfe301,fe,51,51,B,fuexam,Which of the following is an explanation of SFA (Sales Force Automation)?
jfe301,fe,52,52,A,fuexam,What is HDLC protocol stands for?
jfe301,fe,53,53,B,fuexam,Which of the following can be achieved by using SSL/TLS?
jfe301,fe,54,54,D,fuexam,"There exist the same two devices, each with an MTBF of 45 hours and an MTTR of 5 hours. What is the availability of a system that connects these TWO devices in series?"
jfe301,fe,55,55,B,books,Which of the following is a role of the program counter (program register) of the CPU?
jfe301,fe,56,56,A,books,Which memory type is typically the fastest for the CPU to access?
jfe301,fe,57,57,C,books,"In RAID with parity, which operation is commonly used to reconstruct lost data?"
jfe301,fe,58,58,B,books,What does MTBF stand for in reliability discussions?
jfe301,fe,59,59,A,books,Availability of a single device is commonly approximated by which formula?
jfe301,fe,60,60,C,books,Two identical devices each have availability 0.9. What is the availability if connected in series?
jfe301,fe,61,61,B,books,Which combination of inks is typical for full-color printing (CMYK)?
jfe301,fe,62,62,A,books,An arithmetic right shift of a negative number in 2's complement representation:
jfe301,fe,63,63,B,books,Which statement about IC cards vs magnetic cards is appropriate?
jfe301,fe,64,64,C,books,Spooling primarily improves system efficiency by:
jfe301,fe,65,65,B,books,Which of the following best describes multiprogramming?
jfe301,fe,66,66,A,books,"A system with two devices in parallel fails only if both fail. Compared with series connection, parallel generally:"
jfe301,fe,67,67,C,books,Which is an appropriate purpose of a system performance indicator such as throughput?
jfe301,fe,68,68,B,books,Client/server architecture typically separates:
jfe301,fe,69,69,A,books,Which is a primary role of an operating system?
jfe301,fe,70,70,B,books,Middleware is best described as:
jfe301,fe,71,71,C,books,Open source software generally means:
jfe301,fe,72,72,A,books,A compiler typically:
